"Table 27 -- World coarse grain trade: Selected exporters and importers by commodity (1,000 metric tons)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Export/import and country/region 1/,,1960/61,1961/62,1962/63,1963/64,1964/65,1965/66,1966/67,1967/68,1968/69,1969/70,1970/71,1971/72,1972/73,1973/74,1974/75,1975/76,1976/77,1977/78,1978/79,1979/80,1980/81,1981/82,1982/83,1983/84,1984/85,1985/86,1986/87,1987/88,1988/89,1989/90,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19
Corn exporters,United States,"6,326","9,922","10,195","11,558","13,080","16,988","12,547","14,515","12,980","15,872","13,078","16,719","28,892","34,853","28,384","39,590","42,774","49,479","54,180","61,801","59,420","49,640","47,160","46,932","46,427","31,147","39,330","43,978","50,512","60,034","44,575","40,686","42,572","33,106","58,689","52,753","46,711","37,789","52,030","49,493","48,329","47,271","40,924","48,809","45,347","56,084","54,214","60,663","47,758","49,696","45,162","38,342","18,262","50,691","46,831","51,098","55,593","63,636","60,000"
,Kuwait,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
,Lebanon,0,0,0,0,2,0,3,1,1,1,0,3,1,0,1,0,0,25,20,87,88,55,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
,Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Libya,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Macedonia (Skopje),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
,Madagascar (Malagasy),2,2,2,1,2,4,4,2,3,3,4,5,3,4,4,4,4,4,4,4,5,5,0,0,0,0,0,0,0,28,17,2,35,25,6,0,9,3,2,0,0,0,0,0,0,0,0,5,5,0,0,5,5,5,5,5,0,0,0
,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,0,0,0,0,0
,Mauritania,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Morocco,53,12,52,75,61,65,3,4,15,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
,Mozambique,,0,0,0,0,9,0,15,85,61,23,0,100,150,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,20,65,24,17,0,0,0,0,0,0,2,0,0,25,0,0,0,5,5,5,5,5,5,0,0,0
,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Nepal,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,0,18,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
,Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0
,Philippines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
,Saudi Arabia,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
,Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
,Sierra Leone,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Singapore,,20,25,27,0,0,9,0,0,0,77,96,189,50,0,50,50,150,150,250,110,173,73,295,122,87,0,211,0,0,0,0,0,0,0,0,7,6,0,0,3,9,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0
,Somalia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
,Swaziland,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
,Switzerland,15,13,66,52,42,0,77,92,85,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Syria,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
,China (Taiwan),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Togo,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
,Trinidad And Tobago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tunisia,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,3,0,0,0,0,0,0,0,0,0,0,0
,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,25,5,10,0,0,0,0,0,0,40,10,20,20,0,0,29,2,18,30,0,10,56,0,20,2,6,0,0,0,0,101,21,0,264,0,166,311,32,0,0,0,0,0
,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,11,64,25,6,67,0,20,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Zimbabwe,33,346,261,85,13,4,303,681,182,673,243,717,891,356,879,758,297,420,554,209,86,350,300,305,600,475,354,154,386,845,429,32,191,"1,261",267,223,397,104,100,200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Total 3/,"12,644","18,260","19,791","22,344","23,305","27,331","25,989","28,552","28,119","29,191","30,104","34,481","38,907","45,884","44,802","52,542","55,456","63,643","67,120","73,201","77,820","66,930","63,225","61,075","66,145","53,805","56,878","58,797","65,993","74,537","58,775","63,037","62,565","57,444","71,945","64,831","66,600","63,073","68,715","72,049","75,906","72,739","76,782","79,037","75,974","82,547","91,330","98,160","83,609","92,747","91,714","103,714","100,747","130,831","128,390","144,930","141,789","150,668","164,625"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn importers,EU-28,"9,370","12,251","13,765","16,065","15,507","19,668","18,766","19,724","18,569","17,722","19,157","20,079","18,274","20,504","21,661","22,399","28,988","23,641","24,820","26,949","26,435","20,869","15,762","12,108","10,285","6,688","4,046","6,346","6,052","7,031","5,724","2,536","3,972","3,337","4,914","5,706","3,952","2,996","3,435","2,379","3,720","2,187","2,626","5,876","2,434","2,525","7,123","14,051","2,457","2,758","7,385","6,113","11,362","16,014","8,908","14,008","14,973","18,411","21,500"
,Mexico,46,34,227,341,29,12,11,24,15,392,537,15,660,"1,538","2,000","1,450","1,280","1,690","1,327","3,870","3,833",571,"4,003","2,459","1,684","1,736","3,256","2,899","3,138","4,995","1,939","1,024",396,"1,691","3,166","6,433","3,141","4,376","5,615","4,911","6,017","4,076","5,269","5,739","5,945","6,787","8,944","9,556","7,764","8,298","8,252","11,086","5,676","10,949","11,341","13,957","14,614","16,129","16,700"
,Japan,"1,708","2,109","2,396","3,076","3,223","2,887","3,837","4,582","5,287","5,975","5,173","5,416","6,881","8,210","7,388","7,879","8,874","9,717","10,936","12,052","13,879","13,261","14,486","14,485","13,955","14,553","16,090","16,700","15,900","15,993","16,345","16,546","16,760","16,165","16,481","15,976","15,963","16,422","16,336","16,117","16,340","16,395","16,863","16,781","16,485","16,617","16,713","16,614","16,531","15,971","15,648","14,888","14,411","15,121","14,657","15,204","15,169","15,668","15,500"
,Vietnam,0,0,57,62,47,30,40,0,43,131,80,90,80,45,50,60,60,96,105,110,110,110,110,0,0,0,0,0,0,0,0,0,40,13,25,32,17,77,107,200,50,263,344,36,291,475,650,700,"1,250","1,600","1,000","1,600","1,600","4,300","6,700","8,600","8,500","9,500","11,000"
,South Korea,23,12,44,14,8,1,28,135,170,200,407,455,404,464,569,724,"1,400","1,435","2,568","2,062","2,318","2,778","3,908","3,413","3,000","3,625","4,775","5,023","5,700","6,100","5,571","6,222","6,544","5,696","8,227","8,963","8,326","7,528","7,515","8,692","8,728","8,617","8,781","8,778","8,633","8,483","8,731","9,311","7,188","8,461","8,107","7,636","8,174","10,406","10,168","10,121","9,220","10,018","10,200"
,Egypt,55,416,183,436,220,237,112,269,15,64,76,48,130,450,460,456,557,655,724,874,"1,020","1,350","1,516","1,500","1,700","1,850","2,289","1,399","1,255","1,254","1,943","1,442","1,797","2,095","2,648","2,257","3,201","3,245","3,687","4,600","5,268","4,905","4,848","3,743","5,398","4,397","4,826","4,151","5,031","5,832","5,803","7,154","5,059","8,791","7,839","8,722","8,773","9,464","9,700"
,Iran,11,0,0,0,49,0,0,33,71,24,22,70,97,80,237,148,250,350,450,190,300,530,972,832,675,"1,100",835,639,884,949,796,899,"1,213",912,"1,207","1,383","1,658",900,"1,205","1,249","1,265","1,261","2,157","1,857","2,558","2,300","3,300","2,900","3,600","4,300","3,500","4,000","3,700","5,500","6,100","6,600","7,800","8,900","9,500"
,Colombia,24,16,1,22,0,1,1,1,15,4,40,25,85,69,0,0,120,84,42,120,71,72,47,2,40,65,2,43,0,12,38,343,485,"1,099","1,080","1,430","1,675","1,785","1,570","2,005","1,857","1,911","2,112","1,999","2,256","3,151","3,411","3,267","3,142","3,651","3,511","3,209","3,266","4,436","4,496","4,458","4,754","5,201","5,500"
,China (Mainland),33,212,264,212,101,31,63,113,1,0,0,0,955,"2,058",496,0,0,59,"3,032","1,966",772,"1,245","2,441",131,100,374,"1,551",217,0,442,0,0,0,0,"4,287","1,476",75,287,262,71,89,39,29,2,2,62,16,41,47,"1,296",979,"5,231","2,702","3,277","5,516","3,174","2,464","3,456","5,000"
,Saudi Arabia,,,,,,,,,,,0,0,0,0,56,89,116,100,175,150,280,350,350,552,600,600,618,700,660,803,800,926,879,"1,136",940,926,"1,272","1,234","1,290","1,434","1,392","1,268","1,445","1,627","1,229","1,494","1,569","1,961","1,482","1,872","1,933","1,816","2,063","2,684","2,904","3,583","3,421","3,983","5,000"
,Algeria,2,6,1,1,3,1,2,9,8,9,16,22,0,38,15,102,126,163,135,165,273,409,323,570,600,675,"1,038","1,016","1,077","1,140","1,276",823,"1,250","1,326",913,586,996,943,"1,171","1,300","1,500","1,537","1,643","1,765","2,145","2,061","2,463","2,166","1,903","2,569","2,741","3,231","2,918","4,156","4,116","4,329","3,915","4,200","4,400"
,China (Taiwan),1,17,13,6,29,56,65,257,355,490,556,948,"1,357","1,221",990,"1,815","1,820","2,100","2,617","2,550","2,590","2,566","3,196","3,008","3,149","3,070","3,689","4,431","3,761","5,314","5,289","5,258","5,644","5,395","6,193","5,734","5,742","4,474","4,575","5,023","4,924","4,661","4,681","4,951","4,562","4,533","4,283","4,527","4,532","4,521","4,134","4,354","4,241","4,179","3,810","4,656","4,163","4,410","4,100"
,Malaysia,129,174,165,94,44,52,63,68,102,124,169,197,235,210,218,314,290,408,614,614,717,790,940,"1,045","1,125","1,196","1,257","1,260","1,169","1,283","1,370","1,751","1,985","1,941","2,318","2,309","2,335","2,202","2,384","2,296","2,588","2,425","2,408","2,401","2,406","2,517","2,363","3,181","2,447","3,107","2,809","3,356","3,048","3,485","3,243","4,122","3,531","3,645","4,000"
,Peru,16,20,6,18,4,5,5,1,65,1,4,43,223,225,369,251,250,152,200,367,400,515,406,265,240,350,443,644,199,424,717,848,615,756,"1,063",823,840,"1,228","1,050",862,861,858,917,"1,041","1,301","1,467","1,528","1,469","1,429","1,782","1,938","1,772","2,254","2,232","2,741","2,985","3,269","3,402","3,400"
,Morocco,0,0,0,4,6,11,22,6,0,1,8,11,21,33,33,0,2,84,81,113,137,185,139,168,160,143,185,202,61,129,172,216,344,373,546,377,687,553,729,750,966,829,"1,054","1,183","1,423","1,491","1,683","1,858","1,566","1,802","1,738","1,943","1,684","2,349","1,941","2,224","2,164","2,600","2,600"
,Chile,,14,0,0,26,40,65,134,212,250,350,250,309,144,132,0,79,144,222,337,285,337,340,100,10,10,130,268,83,40,263,469,395,439,551,457,783,851,"1,268","1,260","1,362","1,278",933,"1,043","1,081","1,599","1,508","1,628",863,661,526,906,844,"1,456","1,516","1,539","1,484","1,893","2,200"
,Turkey,0,10,0,35,0,7,0,1,6,0,5,5,0,0,0,0,0,0,0,0,0,51,50,145,110,220,56,217,324,744,114,83,159,9,466,748,929,704,887,"1,250",608,"1,193","1,475","1,023",187,61,"1,052","1,096",516,499,453,729,"1,656","1,381","2,377",567,"1,421","2,715","2,200"
,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627,579,293,292,488,485,"1,036","1,181","1,145","2,000"
,Canada,516,701,775,574,427,551,485,788,799,667,288,220,715,"1,273","1,041",697,660,386,677,"1,050","1,221",890,571,322,560,363,217,158,704,637,302,330,"1,196",574,"1,126",763,903,"1,450",936,"1,115","2,843","4,022","3,846","2,033","2,237","1,962","2,226","3,117","1,844","1,961",984,748,492,678,"1,536",958,686,"1,767","1,700"
,Israel,126,177,174,224,167,171,167,140,117,123,90,116,129,178,209,291,335,362,293,499,588,556,636,260,240,300,436,416,420,293,324,430,626,290,688,630,736,530,579,800,993,"1,021",776,"1,377","1,242","1,128","1,311","1,374",846,"1,053","1,029","1,253","1,224","1,651","1,294","1,156","1,539","1,861","1,700"
,Dominican Republic,0,3,1,4,12,5,5,4,3,1,12,26,17,66,55,55,84,97,110,145,150,180,232,270,140,220,341,394,393,421,451,575,654,658,685,649,733,671,814,"1,000",968,"1,038",906,824,"1,031","1,068","1,212","1,074",973,"1,098",999,"1,054","1,046","1,011","1,202","1,351","1,294","1,329","1,500"
,Guatemala,0,20,38,5,13,7,4,23,14,14,16,19,32,71,51,52,27,128,68,71,74,2,20,15,20,22,97,11,1,154,154,121,173,143,207,192,328,305,385,500,549,584,513,513,641,751,764,617,673,651,676,691,678,767,881,"1,027",951,"1,091","1,200"
,Venezuela,1,62,86,48,132,33,25,0,231,42,82,79,216,275,245,175,508,606,382,"1,446","1,340",738,948,"1,410",775,24,0,0,0,622,321,631,"1,126","1,069","1,259","1,140","1,494","1,161","1,463","1,300","1,207",515,675,687,106,152,534,"1,103","1,336","2,198","1,251","2,596","2,154","2,626","2,433","1,738","1,238","1,387","1,200"
,Tunisia,15,46,,2,13,17,36,18,4,10,12,14,25,21,33,65,88,109,120,284,222,333,164,286,206,275,168,175,205,298,274,264,315,275,224,327,474,368,561,566,776,793,734,784,714,624,653,804,646,866,677,853,846,993,"1,042","1,017","1,244",961,"1,100"
,United States,31,34,23,28,23,24,23,23,31,28,102,37,26,25,47,43,64,70,26,26,22,22,28,61,76,272,45,93,67,30,61,476,191,519,245,446,336,201,479,367,179,254,374,356,281,210,319,501,337,237,684,765,"4,265",727,809,"1,782","1,451",846,"1,100"
,Brazil,0,11,6,1,1,5,7,7,3,2,2,1,0,0,0,0,0,141,"1,510","1,725","1,600",17,0,470,210,"1,900","1,383",133,142,618,913,503,"1,185","1,183","1,695",285,514,"1,456",945,"1,789",671,251,639,459,481,931,"1,204",961,"1,092",699,287,937,869,846,534,"1,566","2,439",943,"1,000"
,Cuba,50,128,104,192,180,185,187,154,114,127,181,131,110,245,287,300,300,300,350,350,380,380,370,386,515,475,421,579,716,619,93,32,120,39,183,272,230,38,65,100,119,292,279,469,546,501,646,811,708,736,838,743,911,928,886,853,964,712,"1,000"
,Costa Rica,0,1,1,9,8,7,4,6,16,18,35,22,29,48,26,5,4,8,20,27,42,70,72,37,39,0,37,123,168,185,218,200,318,382,429,374,375,382,430,550,513,463,514,583,569,687,672,674,586,626,663,691,716,696,819,776,876,873,850
,Jordan,2,2,79,5,12,12,28,1,4,23,20,24,31,35,26,44,60,68,96,126,109,135,151,265,215,300,262,212,141,223,172,450,295,378,366,269,442,485,448,450,454,439,406,425,425,475,450,450,525,525,550,575,575,446,689,811,829,640,800
,Lebanon,7,14,26,29,7,78,47,72,66,64,69,130,98,99,140,120,120,185,120,280,190,200,175,92,100,100,157,101,137,95,159,108,287,103,259,265,521,343,225,275,184,263,131,285,267,237,307,218,294,411,371,516,362,588,658,847,886,"1,096",800
,El Salvador,14,24,30,23,60,65,26,30,44,3,0,0,39,69,26,1,24,80,45,0,35,36,128,115,30,46,59,35,100,65,66,121,84,149,213,221,450,202,375,400,469,291,394,476,519,512,622,577,379,473,568,464,301,422,633,739,574,581,700
,Kenya,0,113,8,0,0,216,2,0,1,14,0,29,0,0,0,0,0,0,0,370,400,295,5,155,591,0,0,0,0,3,0,351,172,749,4,61,"1,051",349,250,250,700,20,82,77,231,94,2,202,"1,400",500,300,400,100,350,600,200,"1,000","1,000",700
,Philippines,0,0,1,0,2,22,37,14,22,11,30,166,116,90,159,54,160,134,56,94,359,301,556,217,304,0,56,25,53,441,29,2,0,1,138,515,446,455,129,582,246,263,68,52,151,324,181,36,429,133,43,214,117,803,719,666,606,806,700
,Thailand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,80,8,223,260,231,253,150,450,24,5,126,64,99,119,100,425,900,500,600,400,400,600,600,600,600,700,700
,Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,172,70,0,0,8,41,46,63,34,2,198,21,64,36,131,169,37,0,135,228,357,"1,082","1,736",842,895,516,455,"1,229","1,280","1,149","1,633","1,436",541,"1,443","1,069",294,317,"1,321","3,041","1,724","2,719","3,513","3,381","1,754",639,530,600
,Libya,,,,,,,,,,,,,,,,,,,,,,,,82,110,130,169,202,190,281,58,88,195,137,199,172,346,283,91,275,252,235,134,198,432,471,511,614,428,656,364,646,647,812,684,581,679,492,600
,Panama,8,6,4,6,6,20,5,3,2,2,15,14,17,13,28,16,13,3,18,27,41,41,88,48,41,25,23,26,35,33,63,95,85,139,139,149,172,237,265,300,249,237,272,293,282,346,341,371,384,319,372,391,318,433,402,514,529,491,600
,Yemen United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,95,89,94,115,65,117,157,150,200,264,252,244,261,317,424,417,486,511,343,601,574,609,549,609,582,687,600
,Honduras,20,1,0,1,1,2,1,2,1,0,1,0,1,2,0,37,7,47,7,50,62,0,21,20,3,15,43,43,41,68,63,47,34,38,88,37,168,75,125,200,252,217,214,229,321,374,374,327,358,346,451,398,316,413,502,591,512,626,500
,India,138,91,110,82,136,123,107,75,1,39,13,13,0,6,0,0,47,0,6,15,10,0,5,0,0,0,0,304,200,0,0,0,1,0,1,0,0,1,175,250,50,1,1,0,3,4,4,4,11,22,24,3,9,12,21,246,83,27,500
,Nepal,0,0,0,0,0,0,0,0,0,0,0,0,21,20,20,20,20,20,20,20,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,14,18,38,29,24,146,163,226,214,273,261,359,379,496,400
,Nigeria,0,0,0,0,0,0,0,0,1,1,10,2,2,2,3,1,25,75,40,175,300,400,375,112,120,10,0,0,0,0,0,0,15,0,0,0,16,4,0,0,0,41,8,0,18,9,0,0,50,100,100,100,200,200,150,200,650,200,400
,Nicaragua,0,4,2,7,8,5,10,10,0,6,4,12,60,25,0,0,21,40,17,18,20,20,25,15,25,10,0,0,0,38,6,14,5,34,16,7,31,24,70,100,79,49,73,84,79,124,133,111,111,119,159,131,141,191,219,291,357,339,350
,Iraq,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,60,81,150,200,200,200,255,425,220,531,616,511,612,0,0,0,0,0,0,0,0,0,0,81,0,0,35,50,50,25,25,75,75,100,10,10,6,33,309,179,237,300
,Jamaica,6,13,15,22,23,37,46,47,56,58,67,114,112,110,106,117,159,198,158,169,150,159,166,190,141,126,152,194,176,190,172,153,196,155,182,188,203,185,207,235,221,241,218,242,224,289,256,244,234,233,273,268,267,286,277,287,276,303,300
,Republic Of South Africa,0,0,2,1,0,157,142,0,0,511,1,2,1,0,0,0,0,0,0,0,18,130,767,"2,922",850,150,116,0,0,73,194,"2,725","2,110",126,570,564,372,135,307,350,0,726,617,495,131,896,996,521,27,27,6,424,0,79,469,"2,579","1,231",0,300
,Uruguay,12,0,13,17,45,5,0,74,41,0,0,0,45,0,0,0,0,0,0,30,0,0,0,10,20,6,44,0,84,24,8,25,40,144,82,81,27,25,41,225,63,3,35,81,63,191,92,141,116,31,44,16,68,259,209,111,184,553,300
,Zimbabwe,0,0,0,35,24,45,15,0,0,0,0,0,0,0,169,0,0,0,0,93,95,0,0,93,0,2,0,0,0,0,0,"1,370",340,1,9,132,220,402,350,50,50,311,625,233,731,671,500,550,400,300,300,600,700,600,700,800,"1,400",100,300
,Ecuador,0,0,0,5,0,0,0,0,0,2,1,1,6,11,0,15,12,20,0,0,10,0,25,30,0,0,0,0,0,0,5,9,24,12,59,145,114,279,285,225,149,309,304,457,431,469,474,491,316,389,671,379,146,131,74,13,161,71,250
,Senegal,12,11,20,15,14,13,15,13,36,15,18,22,30,34,15,10,15,25,15,15,5,4,11,46,20,21,4,7,4,14,16,20,13,8,24,14,15,76,8,10,46,65,78,48,121,94,39,94,107,101,58,167,131,229,212,218,278,211,250
,Syria,,,,,,,,,,,,,,,0,35,35,45,100,265,210,275,225,200,140,80,152,29,71,220,245,163,313,261,555,243,464,482,570,750,794,892,919,941,"1,781","1,256","1,729","1,661","1,784","2,024","1,659","1,083",469,417,356,271,156,133,250
,Botswana,16,16,10,10,10,15,28,20,13,11,,10,25,25,4,4,6,10,2,25,5,5,15,7,10,26,26,8,24,4,27,0,3,30,0,0,40,0,0,0,0,0,0,115,155,165,130,240,210,195,175,215,185,170,205,220,202,211,220
,Bosnia-Hercegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814,430,55,121,115,67,64,120,135,250,226,173,212,225,232,106,194,179,161,164,213,206,261,280,213,223,200
,Mozambique,,0,1,12,34,33,24,3,0,0,2,50,10,0,0,80,25,50,70,80,70,100,150,170,120,200,227,261,357,323,249,843,516,278,187,178,9,28,24,46,40,369,413,79,87,300,25,25,175,50,100,100,100,125,150,110,130,100,200
,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,110,65,70,70,95,135,100,95,55,150,175,150,200,130,110,180
,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,400","1,650","1,500","1,100","1,200",520,2,5,1,22,100,57,100,169,126,43,158,254,250,250,150,175,75,75,89,78,104,74,37,62,141,150
,Kuwait,,,,,,,,,,,,,,,19,25,31,30,35,78,105,125,129,113,212,125,109,57,106,57,21,,30,59,64,85,95,68,180,200,128,107,128,147,138,137,138,103,108,161,181,163,171,156,197,137,131,171,150
,Switzerland,80,96,142,161,158,198,232,199,191,193,207,211,258,288,250,253,263,226,244,265,238,283,231,240,225,167,175,188,123,64,40,30,178,140,26,43,67,37,34,29,14,41,89,114,76,52,97,183,71,86,143,94,104,142,127,167,157,132,150
,Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,10,0,0,0,0,0,3,8,14,59,69,36,25,56,30,30,3,3,8,7,0,0,0,0,0,0,50,100,50,150,150,125,125,125
,Swaziland,,,,,,,,,,,,,,,,,0,0,0,65,0,0,0,0,0,8,0,0,0,0,0,10,2,22,6,6,10,0,0,38,45,50,40,40,50,70,70,80,60,80,100,70,80,85,94,127,161,119,120
,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,380,380,200,130,20,0,50,0,0,0,0,0,1,0,4,4,26,49,59,25,30,30,22,29,27,51,94,96,91,112,100
,Malawi,,0,0,0,0,7,0,0,0,0,92,2,0,0,0,0,0,0,0,0,85,0,0,0,0,0,20,28,98,317,98,81,243,397,301,3,22,42,0,0,11,86,25,4,4,125,0,25,25,50,15,10,25,25,25,100,100,50,100
